Date,Natural_Gas,Crude_oil,Bitcoin,Ethereum,Nasdaq100,Apple,Tesla,Microsoft,Silver,Google,Nvidia,Berkshire,Netflix,Amazon,Meta,Gold
26-10-2023,88610,341790,56620,471170,299370000,69450000,113830000,37230000,110,55640000,53150000,7210,6690000,83670000,65770000,200
25-10-2023,31460,429460,75810,389390,297480000,56600000,105410000,54460000,90,83290000,38400000,7080,6220000,72530000,42190000,160
24-10-2023,65430,370590,159080,750210,226190000,43580000,117480000,27520000,100,40970000,38370000,6710,6440000,44470000,18010000,1230
23-10-2023,99130,315520,133460,672280,224360000,55240000,149250000,24320000,80,26180000,47290000,8920,7340000,46690000,17800000,450
20-10-2023,144040,27310,82680,343610,295790000,64240000,138010000,25030000,80,26340000,47730000,7790,12780000,56410000,21720000,
19-10-2023,138650,72060,50100,238420,268510000,57620000,169090000,24910000,58630,25880000,48970000,6990,27720000,59610000,17860000,264820
18-10-2023,122850,92800,45010,199430,226410000,54490000,114650000,23030000,66390,23290000,62310000,7640,9620000,42130000,16720000,270050
17-10-2023,133590,197120,53420,250220,240210000,57420000,93300000,18000000,48470,23110000,80760000,7070,5830000,48170000,16290000,165060
16-10-2023,165020,235780,119180,452690,222560000,52170000,88630000,22100000,36550,26310000,37100000,9110,5100000,42360000,16060000,182820
13-10-2023,139190,356860,33660,208910,235940000,51460000,102300000,21090000,76260,23440000,47540000,7440,6320000,45830000,21360000,312990
12/10/2023,160320,373490,32750,260590,230890000,56550000,111510000,19270000,51300,24710000,47980000,7530,7350000,54960000,20530000,163480
11/10/2023,211410,425400,55780,279010,206570000,47040000,103390000,19830000,45000,25780000,37480000,7670,9030000,40520000,21390000,169960
10/10/2023,170100,337650,34320,255410,215540000,43650000,122100000,20520000,43790,27760000,35960000,7270,7150000,40370000,18970000,157340
9/10/2023,208300,435040,44810,372110,215540000,42390000,101380000,19890000,58310,19280000,40970000,9420,3300000,38770000,22500000,187800
6/10/2023,248000,461140,52510,238240,259200000,57270000,118120000,25670000,84530,27600000,43440000,7900,4780000,46840000,21800000,231020
5/10/2023,220410,466000,46260,253050,223980000,48380000,118780000,16940000,57840,19780000,39210000,7160,4990000,39590000,19100000,172460
4/10/2023,155570,460000,40930,243080,240110000,52740000,128880000,20250000,68610,26610000,36010000,7800,4270000,44080000,16820000,195050
3/10/2023,128580,350660,44060,216110,237600000,49040000,101520000,20590000,82340,22920000,46830000,7610,8810000,50200000,17270000,216780
2/10/2023,124340,334490,84300,412810,212660000,52160000,123810000,20570000,98270,22250000,43330000,10710,3100000,48030000,16270000,202150
29-09-2023,114660,355780,42240,273450,265040000,51860000,128520000,24150000,112990,30860000,39780000,8760,4210000,62410000,25370000,245130
